,popularity,vote_average,budget_adj,revenue_adj,net_profit
0,32.985763,6.5,137999939.280026,1392445892.5238,1254445953.243774
1,28.419936,7.1,137999939.280026,348161292.489031,210161353.20900503
2,13.112507,6.3,101199955.472019,271619025.407628,170419069.93560898
3,11.173104,7.5,183999919.040035,1902723129.80182,1718723210.761785
4,9.335014,7.3,174799923.088033,1385748801.47052,1210948878.382487
5,9.1107,7.2,124199945.352024,490314247.021731,366114301.669707
6,8.654359,5.8,142599937.256027,405355075.683766,262755138.427739
7,7.6674,7.6,99359956.2816192,547749654.310152,448389698.02853286
8,7.40416499999999,6.5,68079970.0448131,1064192016.79551,996112046.7506969
9,6.326804,8.0,160999929.160031,785411574.698907,624411645.538876
10,6.200282,6.2,225399900.824043,810220283.783075,584820382.9590319
11,6.189369,5.2,161919931.51523,169268630.681802,7348699.166572005
12,6.118847,7.6,13799993.9280026,33919845.9552677,20119852.027265098
13,5.984995,5.8,80959964.3776156,224146025.095748,143186060.7181324
14,5.944927,7.4,257599886.656049,1292632336.88177,1035032450.2257209
15,5.8984,7.4,40479982.1888078,143299244.588332,102819262.3995242
16,5.749758,6.1,44159980.5696085,299709578.207785,255549597.6381765
17,5.573184,7.0,119599947.376023,477113780.029936,357513832.653913
18,5.556818,6.8,87399961.5440169,498963025.216268,411563063.6722511
19,5.476958,6.5,147199935.232028,598481289.508232,451281354.276204
20,5.462138,6.2,174799923.088033,192312729.942398,17512806.85436502
21,5.337064,7.3,27599987.8560053,84373003.7158783,56773015.859873
22,4.907832,6.1,101199955.472019,432851374.985395,331651419.513376
23,4.71040199999999,5.3,36799983.8080071,524079119.045187,487279135.2371799
24,4.648046,7.3,25759988.6656049,122678731.541358,96918742.87575309
25,4.566713,7.1,137999939.280026,627743451.672881,489743512.39285505
26,4.564549,6.3,62559972.4736121,198594430.13845,136034457.6648379
27,4.503789,7.6,74519967.2112144,371497801.660967,296977834.44975257
28,4.062293,7.8,18399991.9040035,81278719.3973634,62878727.49335989
29,3.968891,6.4,56119975.3072108,286356245.923251,230236270.61604017
30,3.927333,6.4,0.0,27006774.877019,27006774.877019
31,3.899557,6.6,45079980.1648087,93903685.2423785,48823705.077569805
32,3.877764,6.8,26679988.2608051,264505582.097543,237825593.8367379
33,3.64821,7.1,36799983.8080071,149601569.335309,112801585.52730191
34,3.644541,6.2,53359976.5216103,138157089.01088,84797112.4892697
35,3.557846,8.0,5519997.57120106,32569603.0293746,27049605.45817354
36,3.358321,6.2,0.0,20566197.1908732,20566197.1908732
37,3.339135,6.6,160999929.160031,305371920.876354,144371991.716323
38,3.23737,6.3,45999979.7600089,65836683.5118592,19836703.7518503
39,3.227329,7.3,10119995.5472019,57110024.5915891,46990029.0443872
40,3.202719,7.7,25759988.6656049,185504110.098191,159744121.4325861
41,3.080505,5.6,82799963.568016,129164861.167461,46364897.599445
42,3.079522,6.9,27599987.8560053,31686509.2179359,4086521.3619306013
43,3.053421,7.0,68999969.6400133,99493456.5028791,30493486.86286579
44,3.025852,7.3,22999989.8800044,39219376.6634742,16219386.783469804
45,3.023253,5.9,9199995.95200178,13187080.9976843,3987085.0456825197
46,2.976436,6.9,124199945.352024,339361177.121082,215161231.769058
47,2.968254,6.2,11039995.1424021,78671281.3846362,67631286.2422341
48,2.93234,5.3,27599987.8560053,0.0,-27599987.8560053
49,2.885126,6.6,3679998.38080071,8339346.45068756,4659348.06988685
50,2.883233,7.1,10855995.2233621,37050347.8978469,26194352.6744848
51,2.814802,7.1,32199985.8320062,178999419.480255,146799433.6482488
52,2.798017,6.7,50599977.7360098,187153294.93255,136553317.1965402
53,2.793297,6.4,55199975.7120106,93043293.3409509,37843317.62894031
54,2.614499,5.5,96599957.4960187,123021159.990689,26421202.4946703
55,2.584264,6.3,18399991.9040035,33678188.7415969,15278196.837593399
56,2.578919,6.2,23919989.4752046,28081355.5642035,4161366.0889989026
57,2.575711,5.3,55199975.7120106,27985062.8865723,-27214912.8254383
58,2.557859,7.3,13799993.9280026,59056175.1752829,45256181.2472803
