,popularity,cast,vote_average,release_year,budget_adj,revenue_adj,net_profit
1039,0.288035,Adelaide Kane,7.4,2014,0.0,0.0,0.0
1239,0.090297,Adelaide Kane,4.8,2014,6447637.35540021,0.0,-6447637.35540021
4819,0.146925,Adelaide Kane,3.6,2012,284923.284405673,0.0,-284923.284405673
5443,2.811403,Adelaide Kane,5.8,2013,2808100.05822127,83614574.2265088,80806474.16828753
5856,0.357926,Adelaide Kane,6.1,2013,0.0,0.0,0.0
3785,0.195283,Jessie Wiseman,6.7,2011,16479.766724055,98137.9802397903,81658.21351573529
641,6.286692,Rami Malek,6.1,2014,116978563.447975,321851579.072442,204873015.62446702
728,1.541069,Rami Malek,6.2,2014,60792009.3509163,187237211.341578,126445201.99066171
5493,1.333929,Rami Malek,7.8,2013,0.0,1497653.36438467,1497653.36438467
5703,0.393664,Rami Malek,5.8,2013,0.0,965277.842780093,965277.842780093
7889,1.682283,Elizabeth Berridge,7.5,1984,37782756.7054947,109093572.775256,71310816.06976129
8436,0.161585999999999,Elizabeth Berridge,6.0,1981,0.0,0.0,0.0
5761,0.322876,Simon Hill,6.2,2013,0.0,0.0,0.0
1079,0.232365,Alexandra Lamy,7.0,2014,0.0,0.0,0.0
1779,0.221791,Alexandra Lamy,5.1,2009,0.0,0.0,0.0
6513,0.445221,Alexandra Lamy,5.6,2005,0.0,0.0,0.0
8821,0.198144,Charles Busch,5.3,2000,1899438.1715147,0.0,-1899438.1715147
7317,1.06566,Antonia Franceschi,5.8,1980,0.0,56103464.7999053,56103464.7999053
1871,0.092519,Tony Way,6.5,2009,31703.5623412255,10164.0043412495,-21539.557999976
800,0.81219,Sasha Grey,5.1,2014,0.0,0.0,0.0
829,0.691851,Sasha Grey,4.3,2014,0.0,0.0,0.0
1736,0.272422,Sasha Grey,5.5,2009,1727880.73801242,1024493.01438145,-703387.72363097
3071,0.460247999999999,Sasha Grey,6.4,2008,0.0,0.0,0.0
4514,0.622156,Sasha Grey,5.7,2012,0.0,0.0,0.0
3948,1.204615,Jonathan Frakes,6.1,2002,72735683.6172328,81600740.2552974,8865056.638064593
4205,0.948788,Jonathan Frakes,6.3,1994,55902239.3407301,176533387.391779,120631148.0510489
9013,0.931643,Jonathan Frakes,6.2,1998,93638682.8354809,157848065.351239,64209382.5157581
7277,0.412913,Danny Mills,6.3,1972,62574.7311763475,31287365.5881737,31224790.856997352
6861,0.20754,Jamel Debbouze,6.7,2006,15684202.7952278,24839127.1319293,9154924.336701501
7125,0.422767,Jamel Debbouze,5.2,2004,9235563.19849719,421527.266615009,-8814035.93188218
2792,0.457617,Julia Sweeney,4.4,2001,0.0,0.0,0.0
8731,0.578555,Julia Sweeney,4.4,2000,0.0,0.0,0.0
3629,0.42093,Jean-Pierre Darroussin,6.5,2011,0.0,0.0,0.0
6468,0.224181,Jean-Pierre Darroussin,5.3,2005,0.0,0.0,0.0
