,popularity,director,vote_average,release_year,budget_adj,revenue_adj,net_profit
710,1.840817,Frank Miller,6.2,2014,59870918.3001448,36298002.4298381,-23572915.8703067
3003,0.66173,Frank Miller,4.6,2008,60767198.02855,39530416.4133012,-21236781.6152488
6194,3.520836,Frank Miller,7.1,2005,44662531.5861797,177236356.238624,132573824.6524443
3121,0.361127,Jonathan Frakes,5.7,2008,0.0,0.0,0.0
4048,0.440499,Jonathan Frakes,4.5,2002,31518796.2341342,47027599.3126962,15508803.078562003
6715,0.513326,Jonathan Frakes,5.7,2006,0.0,0.0,0.0
7029,0.976399,Jonathan Frakes,4.4,2004,65803387.7892924,32651914.6246066,-33151473.164685804
8472,1.323991,Jonathan Frakes,6.8,1996,63949969.9921716,208532510.844038,144582540.85186642
9013,0.931643,Jonathan Frakes,6.2,1998,93638682.8354809,157848065.351239,64209382.5157581
19,5.476958,Francis Lawrence,6.5,2015,147199935.232028,598481289.508232,451281354.276204
633,10.739009,Francis Lawrence,6.6,2014,115136381.346432,692752790.215065,577616408.868633
3576,0.530139,Francis Lawrence,6.7,2011,36837125.6184759,110662825.911621,73825700.2931451
5427,4.921275,Francis Lawrence,7.4,2013,121684335.856255,793216614.966424,671532279.1101689
6201,2.26533,Francis Lawrence,6.5,2005,111656328.965449,257286597.120405,145630268.15495598
7392,2.692916,Francis Lawrence,6.8,2007,157750287.394731,615593163.691478,457842876.296747
1503,0.725903,John Putch,5.1,2009,0.0,0.0,0.0
3600,0.482803,John Putch,5.4,2011,0.0,0.0,0.0
4662,0.323947,John Putch,5.5,2012,0.0,0.0,0.0
6535,0.145446,John Putch,3.9,2005,0.0,0.0,0.0
1869,0.097127,Kevin Heffernan,6.0,2009,0.0,0.0,0.0
2220,0.283241,Kevin Munroe,4.9,2010,20000000.0,4634062.0,-15365938.0
7426,1.39090499999999,Kevin Munroe,6.0,2007,35756731.8094725,100548976.258476,64792244.4490035
7060,0.730097,S. S. Wilson,5.5,2004,5772226.99906074,0.0,-5772226.99906074
8584,0.375865,S. S. Wilson,5.8,1996,5560866.95584101,0.0,-5560866.95584101
113,1.40805,Rick Famuyiwa,7.3,2015,643999.716640124,16547831.2389542,15903831.522314075
2187,0.312595,Rick Famuyiwa,5.9,2010,14000000.0,21409028.0,7409028.0
2563,0.25073,Rick Famuyiwa,7.6,1999,7854317.07956593,32804393.0766289,24950075.99706297
4062,0.373221,Rick Famuyiwa,7.2,2002,9698091.14896437,33170759.3823576,23472668.23339323
4196,1.23859,Stephen Hopkins,5.6,1994,0.0,44362843.1937773,44362843.1937773
7149,0.33003,Stephen Hopkins,6.7,2004,0.0,0.0,0.0
7507,0.63935,Stephen Hopkins,5.4,2007,42066743.3052618,66014350.6488111,23947607.343549304
8565,0.435293,Stephen Hopkins,6.3,1996,69510836.9480127,104266255.422019,34755418.47400631
8798,0.471019,Stephen Hopkins,6.0,2000,31657302.8585784,329947.605897476,-31327355.252680924
8992,1.282567,Stephen Hopkins,4.9,1998,107015637.526263,182139843.219415,75124205.69315201
9197,0.918962,Stephen Hopkins,5.6,1989,14071879.512346,38993809.604304,24921930.091958
9993,1.034127,Stephen Hopkins,5.7,1990,58411448.9110103,95328015.3325046,36916566.4214943
10249,0.815631,Stephen Hopkins,6.4,1993,0.0,18320343.3379996,18320343.3379996
1171,0.16084,Casey La Scala,4.3,2014,0.0,1077310.85625545,1077310.85625545
5156,0.235742,Casey La Scala,6.3,2003,0.0,0.0,0.0
5864,0.213141,Adrian Powers,6.0,2013,0.0,0.0,0.0
2556,0.26906,Don Bluth,5.8,1999,0.0,0.0,0.0
