,popularity,genres,vote_average,release_year,budget_adj,revenue_adj,net_profit
19,5.476958,War,6.5,2015,147199935.232028,598481289.508232,451281354.276204
70,2.29573,War,7.2,2015,11959994.7376023,30220316.9030605,18260322.165458202
172,0.874641,War,6.4,2015,0.0,12137055.0996957,12137055.0996957
180,0.829111,War,7.1,2015,18399991.9040035,5906690.88105601,-12493301.02294749
206,0.689578999999999,War,5.1,2015,13799993.9280026,2779009.65723575,-11020984.27076685
232,0.561032,War,5.7,2015,0.0,0.0,0.0
291,0.424813,War,7.5,2015,5519997.57120106,83514.8032534865,-5436482.767947573
337,0.356519,War,4.9,2015,0.0,0.0,0.0
594,0.0522169999999999,War,5.6,2015,0.0,0.0,0.0
636,8.110711,War,8.0,2014,12895274.7108004,215126072.495392,202230797.7845916
640,6.415818,War,7.4,2014,62634191.4524592,195103577.60975,132469386.1572908
657,3.863074,War,7.5,2014,54160153.7853618,499514514.092232,445354360.3068702
671,3.028769,War,6.1,2014,64476373.5540021,198522018.221023,134045644.66702089
674,2.979181,War,6.1,2014,101320015.58486,310941963.895073,209621948.310213
715,1.779861,War,5.7,2014,64476373.5540021,142754407.65095,78278034.09694791
716,1.769987,War,7.2,2014,59870918.3001448,150545826.582503,90674908.2823582
744,1.220073,War,6.6,2014,0.0,1497553.12162362,1497553.12162362
758,1.039133,War,6.9,2014,13816365.7615718,8386272.42741572,-5430093.33415608
774,0.956582,War,7.0,2014,0.0,1678458.16726829,1678458.16726829
788,0.893120999999999,War,6.8,2014,20724548.6423578,14295354.2930672,-6429194.3492906
1024,0.299103,War,6.5,2014,0.0,0.0,0.0
1053,0.269528,War,5.8,2014,0.0,0.0,0.0
1087,0.226863,War,6.2,2014,0.0,0.0,0.0
1104,0.211791,War,7.9,2014,0.0,0.0,0.0
1113,0.202449,War,5.9,2014,0.0,0.0,0.0
1132,0.189201,War,5.4,2014,0.0,0.0,0.0
1134,0.083295,War,4.7,2014,0.0,0.0,0.0
1143,0.182618,War,5.2,2014,0.0,0.0,0.0
1190,0.137962,War,5.9,2014,0.0,0.0,0.0
1213,0.110266,War,6.5,2014,0.0,0.0,0.0
1274,0.063621,War,4.9,2014,0.0,0.0,0.0
1292,0.032878,War,5.2,2014,0.0,0.0,0.0
1335,1.048838,War,6.4,1977,79151182.7165477,182587387.402945,103436204.68639731
1339,0.622492,War,6.1,1977,0.0,0.0,0.0
1345,0.474001,War,6.0,1977,21586686.1954221,0.0,-21586686.1954221
1348,0.400457,War,5.9,1977,3238002.92931331,0.0,-3238002.92931331
1387,6.098027,War,7.7,2009,71148030.3887467,324364937.762752,253216907.37400532
1440,1.223786,War,6.7,2009,26426411.2872487,44028788.7291762,17602377.4419275
1488,0.811236,War,5.8,2009,24393610.4189988,69856549.3083293,45462938.8893305
1545,0.566149,War,6.4,2009,40656017.3649981,0.0,-40656017.3649981
1563,0.52377,War,5.1,2009,6098402.60474972,0.0,-6098402.60474972
1698,0.319742,War,7.2,2009,20328008.682499,0.0,-20328008.682499
1715,0.299873,War,5.3,2009,0.0,0.0,0.0
1748,0.258982,War,5.7,2009,0.0,0.0,0.0
1768,0.118447,War,6.7,2009,0.0,0.0,0.0
1784,0.213237,War,6.0,2009,0.0,0.0,0.0
1803,0.14086,War,6.0,2009,0.0,0.0,0.0
1863,0.128661,War,6.0,2009,0.0,0.0,0.0
1950,1.784073,War,6.5,2010,25000000.0,114977104.0,89977104.0
2021,0.876654,War,7.3,2010,20000000.0,0.0,-20000000.0
2122,0.507092,War,6.9,2010,10000.0,0.0,-10000.0
2214,0.757081999999999,War,7.8,2010,120000000.0,0.0,-120000000.0
2243,0.187905,War,7.1,2010,0.0,1422910.0,1422910.0
2257,0.280412,War,7.6,2010,7347125.0,0.0,-7347125.0
2332,0.148442,War,5.7,2010,3167000.0,0.0,-3167000.0
2571,0.235223,War,6.1,1999,78543170.7956593,87675538.4232537,9132367.627594396
2584,0.198126,War,6.6,1999,49744008.1705842,831374.226660667,-48912633.94392353
2624,0.079104,War,5.7,1999,15708634.1591318,27492155.82808,11783521.668948198
2642,2.478879,War,6.6,2001,172408336.337138,553210255.537478,380801919.20034
2653,1.839325,War,7.1,2001,86204168.168569,119425124.106293,33220955.937723994
2654,1.735123,War,7.1,2001,113296906.735833,213034699.517515,99737792.781682
2680,0.90472,War,5.9,2001,49259524.6677537,112992977.931609,63733453.26385531
2722,0.537593,War,8.0,2001,0.0,153936014.58673,153936014.58673
2750,0.427146,War,6.6,2001,18472321.7504076,0.0,-18472321.7504076
2752,0.414765,War,5.9,2001,0.0,19340529.4930936,19340529.4930936
2791,0.278317,War,5.4,2001,0.0,913017.900788115,913017.900788115
2807,0.249357,War,6.2,2001,0.0,0.0,0.0
2815,0.221355,War,6.0,2001,0.0,0.0,0.0
2821,0.209655,War,5.6,2001,0.0,0.0,0.0
2839,0.18527,War,6.0,2001,0.0,0.0,0.0
2897,1.845165,War,6.6,2008,75958997.5356875,202836855.872764,126877858.33707649
2900,1.742288,War,7.2,2008,15191799.5071375,42537038.619985,27345239.1128475
2905,1.61062,War,7.6,2008,12659832.9226145,20677622.1147228,8017789.1921083
2969,0.825749,War,6.5,2008,30383599.014275,0.0,-30383599.014275
2975,0.785951,War,6.6,2008,32409172.2818933,51809322.0527807,19400149.7708874
2998,0.68078,War,6.1,2008,25319665.8452291,11350431.4673617,-13969234.3778674
3014,0.630893,War,7.7,2008,2025573.26761833,11268111.156979,9242537.88936067
3015,0.626646,War,6.9,2008,8.10229307047334,0.0,-8.10229307047334
3085,0.427022999999999,War,6.7,2008,2025573.26761833,38623507.506977,36597934.23935867
3137,0.359217,War,6.3,2008,45575398.5214125,9443053.43826883,-36132345.08314367
3141,0.336308,War,6.6,2008,0.0,0.0,0.0
3155,0.315339,War,5.3,2008,0.0,0.0,0.0
3174,0.283048,War,6.9,2008,0.0,0.0,0.0
3191,0.267577,War,6.5,2008,0.0,0.0,0.0
3215,0.239048,War,6.8,2008,4051146.53523667,536825.529677281,-3514321.005559389
3248,0.284963,War,4.0,2008,8102293.07047334,0.0,-8102293.07047334
3339,0.067761,War,7.0,2008,0.0,0.0,0.0
3347,0.044583,War,5.5,2008,0.0,0.0,0.0
3414,1.592819,War,6.9,2011,63980270.8110371,172150434.096443,108170163.2854059
3512,0.801419,War,5.1,2011,0.0,0.0,0.0
3573,0.539108,War,5.9,2011,19387960.8518294,16944.1083864563,-19371016.74344294
3616,0.444626,War,5.6,2011,0.0,0.0,0.0
3623,0.43132,War,6.6,2011,9693980.42591472,294577.768988568,-9399402.656926151
3666,0.363036,War,6.3,2011,18515502.6134971,5552918.46974702,-12962584.14375008
3721,0.280206,War,6.6,2011,0.0,5406066.29907092,5406066.29907092
3783,0.196225,War,5.6,2011,4071471.77888418,0.0,-4071471.77888418
3865,0.082769,War,4.8,2011,0.0,0.0,0.0
3920,2.364204,War,7.9,2002,42429148.7767191,145559349.52963,103130200.75291091
3970,0.936666,War,6.5,2002,90919604.521541,138998841.805464,48079237.283923
3983,0.784565,War,5.9,2002,139410060.266362,94105748.7132451,-45304311.55311692
4018,0.558747,War,5.7,2002,84858297.5534383,39140336.9553279,-45717960.59811041
