,popularity,production_companies,vote_average,release_year,budget_adj,revenue_adj,net_profit
1332,1.179653,United Artists,7.6,1977,14391124.1302814,137620251.333787,123229127.20350559
1346,0.434509,United Artists,5.6,1977,0.0,0.0,0.0
1687,0.333551,United Artists,5.3,2009,0.0,0.0,0.0
2011,0.944055,United Artists,5.9,2010,36000000.0,64572262.0,28572262.0
2490,0.508128,United Artists,6.7,1999,62834536.6365274,162722051.034472,99887514.3979446
2495,0.480421,United Artists,5.1,1999,27490109.7784807,23252319.5434652,-4237790.2350155
2681,0.899763999999999,United Artists,6.0,2001,12314881.1669384,72926003.4503834,60611122.28344499
2713,0.580121,United Artists,6.9,2001,0.0,0.0,0.0
2851,0.133455,United Artists,5.9,2001,0.0,0.0,0.0
2897,1.845165,United Artists,6.6,2008,75958997.5356875,202836855.872764,126877858.33707649
3978,0.8757,United Artists,6.7,2002,18183920.9043082,11198228.2557279,-6985692.6485803
4001,0.650275,United Artists,6.3,2002,0.0,0.0,0.0
4070,0.357389,United Artists,6.5,2002,10910352.5425849,5791536.37887338,-5118816.16371152
4167,0.079351,United Artists,5.3,2002,0.0,0.0,0.0
5039,0.598372999999999,United Artists,5.4,2003,20150994.9613029,74798912.0359285,54647917.074625604
5312,0.551245,United Artists,6.4,1997,40753809.6321629,0.0,-40753809.6321629
6091,1.149954,United Artists,6.6,1985,62842147.6202591,609110116.673542,546267969.053283
6171,0.183801,United Artists,6.8,1985,0.0,35084201.3827299,35084201.3827299
6363,0.425202,United Artists,5.8,2005,0.0,3288549.09634858,3288549.09634858
6867,0.200709,United Artists,5.3,2006,0.0,0.0,0.0
7052,0.787185,United Artists,7.2,2004,20202794.4967126,43868925.1928616,23666130.696149003
7278,0.400301,United Artists,6.5,1972,10429121.8627245,93947041.9620932,83517920.0993687
7314,1.328578,United Artists,7.4,1980,47628661.5525832,60858845.3171896,13230183.764606394
7332,0.41895,United Artists,6.0,1980,116425617.128536,9219667.88534299,-107205949.24319302
7355,0.247924,United Artists,6.3,1980,26460367.5292129,27489683.7642095,1029316.2349966019
7371,0.128234,United Artists,6.0,1980,26460367.5292129,41794650.613338,15334283.084125102
7442,1.156092,United Artists,5.7,2007,36808400.3921041,66482146.5060572,29673746.113953106
7833,1.049233,United Artists,6.8,1979,21031878.0175111,601458110.057414,580426232.0399029
7837,0.683837,United Artists,7.0,1979,33050094.0275175,0.0,-33050094.0275175
7843,0.498186,United Artists,7.6,1979,0.0,90669961.4605858,90669961.4605858
7860,0.159632,United Artists,6.8,1979,8112295.80675429,113571068.668781,105458772.8620267
7897,0.938766,United Artists,6.5,1984,0.0,80553880.5200082,80553880.5200082
7959,0.229117,United Artists,4.4,1984,0.0,0.0,0.0
7972,0.204824,United Artists,5.9,1984,0.0,0.0,0.0
7994,1.106471,United Artists,6.8,1983,26271743.9730977,174198447.996724,147926704.0236263
8015,0.478476,United Artists,6.2,1983,26271743.9730977,66555084.7318475,40283340.7587498
8071,2.440099,United Artists,6.4,1995,82996078.292204,503977993.446744,420981915.15454006
8093,1.162695,United Artists,6.9,1995,5151480.72158507,71262149.9819269,66110669.26034183
8118,0.77385,United Artists,5.3,1995,64393509.0198134,29121254.6946445,-35272254.32516891
8130,0.640868999999999,United Artists,6.2,1995,40067072.278995,45214132.7439276,5147060.464932598
8428,0.136608999999999,United Artists,5.5,1981,7194572.41457044,0.0,-7194572.41457044
8571,0.408296,United Artists,5.4,1996,41706502.1688076,0.0,-41706502.1688076
8765,0.38535,United Artists,4.7,2000,113966290.290882,18776682.0411413,-95189608.2497407
8894,1.241425,United Artists,6.5,1982,38413920.8433708,280195657.916352,241781737.07298118
8908,0.582499,United Artists,5.7,1982,0.0,20463486.5513992,20463486.5513992
8953,0.044913,United Artists,7.5,1982,0.0,0.0,0.0
8981,1.46043,United Artists,6.6,1998,73573250.7993064,55662690.9911427,-17910559.808163695
8990,1.28584599999999,United Artists,6.1,1998,0.0,0.0,0.0
9219,0.494235,United Artists,5.8,1989,54528533.1103409,130401979.069134,75873445.9587931
9276,0.240681,United Artists,6.3,1989,26384774.0856488,52857546.6698281,26472772.5841793
9454,1.45982099999999,United Artists,7.4,1988,46097275.5772577,654259434.360614,608162158.7833562
9465,0.891508,United Artists,6.2,1988,16595019.2078127,81493868.8779591,64898849.670146406
9543,0.238423,United Artists,3.9,1988,0.0,0.0,0.0
9698,0.179562,United Artists,5.6,1987,0.0,0.0,0.0
9733,0.488336,United Artists,7.0,1968,26956543.5442212,0.0,-26956543.5442212
9810,0.790976,United Artists,6.6,1975,20259105.860311,169501241.072824,149242135.212513
9817,0.491393,United Artists,7.1,1975,0.0,0.0,0.0
9888,0.626005,United Artists,7.1,1964,0.0,86951992.4129354,86951992.4129354
9941,0.448675,United Artists,6.5,1971,10770389.8288746,0.0,-10770389.8288746
9956,0.272856,United Artists,6.8,1971,0.0,0.0,0.0
9989,1.243528,United Artists,5.3,1990,70093738.6932123,200178301.78225,130084563.08903769
10112,0.900245,United Artists,6.6,1961,43769167.2478239,318470457.27108,274701290.0232561
10115,0.538364,United Artists,6.7,1961,21884583.6239119,72948612.0797065,51064028.4557946
10122,0.265092,United Artists,6.2,1961,29179444.8318826,0.0,-29179444.8318826
10144,0.947307,United Artists,7.9,1960,22118902.3715887,184324186.429905,162205284.0583163
10161,0.310398,United Artists,6.2,1960,0.0,0.0,0.0
10165,0.138777,United Artists,6.3,1960,0.0,0.0,0.0
10174,2.389663,United Artists,7.2,1976,4214867.83132405,449209681.628042,444994813.79671794
10175,1.263483,United Artists,6.8,1976,6897056.45125754,129511393.362502,122614336.91124445
10185,0.476406,United Artists,7.4,1976,14560452.5082103,90772454.9957487,76212002.4875384
10191,0.360421,United Artists,6.6,1976,22990188.1708584,129638609.568746,106648421.3978876
10410,0.428652,United Artists,7.0,1967,13073527.4795742,178976447.386569,165902919.9069948
10445,0.704894999999999,United Artists,6.8,1963,0.0,77454073.0630086,77454073.0630086
10462,0.183514,United Artists,5.7,1963,0.0,0.0,0.0
10579,0.155043,United Artists,5.5,1986,0.0,0.0,0.0
10631,0.251582,United Artists,6.1,1973,0.0,0.0,0.0
10727,0.859806,United Artists,7.0,1969,21399351.1241198,266214187.294254,244814836.17013422
10761,1.090065,United Artists,6.2,1978,0.0,165728656.93963,165728656.93963
10780,0.409377,United Artists,6.5,1978,11699452.4321991,80380362.5693735,68680910.1371744
10815,0.0655039999999999,United Artists,5.8,1978,10028102.0847421,0.0,-10028102.0847421
10076,0.388685,Nicolas Entertainment,5.0,1990,0.0,9622138.00589321,9622138.00589321
837,0.667732,Hammer Film Productions,5.1,2014,184218.210154291,16427536.3853992,16243318.175244909
861,0.590256999999999,Hammer Film Productions,4.9,2014,921091.050771459,24410131.4489038,23489040.39813234
2013,0.919635,Hammer Film Productions,6.6,2010,20000000.0,24145613.0,4145613.0
3648,0.396898,Hammer Film Productions,5.6,2011,19387960.8518294,0.0,-19387960.8518294
3793,0.103268,Hammer Film Productions,6.3,2011,0.0,0.0,0.0
4450,1.049943,Hammer Film Productions,6.1,2012,16145652.7829881,121311536.068913,105165883.2859249
9736,0.321891,Hammer Film Productions,6.2,1968,0.0,0.0,0.0
9801,0.064495,Hammer Film Productions,6.0,1974,1768913.55540568,0.0,-1768913.55540568
9863,0.275157,Hammer Film Productions,5.0,1962,0.0,0.0,0.0
9900,0.160098,Hammer Film Productions,6.0,1964,0.0,0.0,0.0
9961,0.177053,Hammer Film Productions,5.3,1971,0.0,0.0,0.0
9966,0.134371,Hammer Film Productions,6.2,1971,0.0,0.0,0.0
9970,0.097979,Hammer Film Productions,5.0,1971,0.0,0.0,0.0
10127,0.217788,Hammer Film Productions,7.0,1961,0.0,0.0,0.0
10152,0.333643,Hammer Film Productions,6.6,1960,0.0,0.0,0.0
10414,0.311525,Hammer Film Productions,5.3,1967,0.0,0.0,0.0
10433,0.174153,Hammer Film Productions,5.4,1967,0.0,0.0,0.0
10470,0.048376,Hammer Film Productions,6.7,1963,0.0,0.0,0.0
10629,0.203942,Hammer Film Productions,6.7,1973,0.0,0.0,0.0
10636,0.162168,Hammer Film Productions,4.8,1973,0.0,0.0,0.0
10652,0.490192,Hammer Film Productions,6.4,1970,0.0,0.0,0.0
10685,0.085301,Hammer Film Productions,6.5,1970,0.0,0.0,0.0
10823,0.613444,Hammer Film Productions,5.6,1966,0.0,0.0,0.0
10846,0.212716,Hammer Film Productions,5.7,1966,0.0,0.0,0.0
321,0.374853,Skyhook Productions,5.9,2015,0.0,0.0,0.0
4778,0.188856,Fourth Floor Productions,4.9,2012,4748721.40676122,0.0,-4748721.40676122
4366,4.611854,Captivate Entertainment,5.9,2012,123466756.575791,262673566.242289,139206809.666498
6480,0.177398,Pandemonium Productions,5.2,2005,33496898.6896348,28442320.5177548,-5054578.171879999
987,0.339749,Twin Engine Films,4.6,2014,0.0,0.0,0.0
3605,0.472008,Twin Engine Films,6.0,2011,969398.042591472,0.0,-969398.042591472
4557,0.494142,Twin Engine Films,5.1,2012,0.0,0.0,0.0
2761,0.38279,Pledge Productions,6.1,2001,43102084.0842845,36205750.630799,-6896333.453485496
7871,0.15896,Swan American Film,3.0,1979,2403643.20200127,0.0,-2403643.20200127
4233,0.590765,Don Bluth,6.3,1994,41191123.7247485,16731688.8169482,-24459434.907800302
4251,0.48427,Don Bluth,4.2,1994,33835565.9167577,104990.289928137,-33730575.626829565
1498,0.760048,Mosaic Media Group,5.4,2009,101640043.412495,69815357.6479355,-31824685.764559507
1535,0.59517,Mosaic Media Group,5.8,2009,50820021.7062476,61148063.929961,10328042.223713405
2901,1.682909,Mosaic Media Group,5.8,2008,35447532.1833208,172173727.747558,136726195.5642372
2923,1.354387,Mosaic Media Group,6.4,2008,20255732.6761833,65651661.3549383,45395928.678755
2924,1.351237,Mosaic Media Group,6.6,2008,65831131.1975958,129745707.506409,63914576.30881321
2936,1.121487,Mosaic Media Group,5.9,2008,81022930.7047334,233635143.412612,152612212.7078786
3203,0.25588,Mosaic Media Group,5.3,2008,0.0,33900855.0754991,33900855.0754991
3262,0.160986,Mosaic Media Group,5.4,2008,0.0,0.0,0.0
3391,2.604249,Mosaic Media Group,5.4,2011,19387960.8518294,209581425.557985,190193464.7061556
3957,1.06440499999999,Mosaic Media Group,5.3,2002,101829957.064125,334160705.371263,232330748.30713803
4057,0.391625,Mosaic Media Group,3.4,2002,0.0,0.0,0.0
5678,0.443555,Mosaic Media Group,4.7,2013,0.0,0.0,0.0
6261,0.899944,Mosaic Media Group,5.4,2005,98257569.4895954,117592277.535651,19334708.0460556
6574,1.76935,Mosaic Media Group,5.5,2006,56246796.2311617,221741837.805656,165495041.5744943
6612,1.099328,Mosaic Media Group,6.1,2006,22715052.324123,0.0,-22715052.324123
7003,1.433373,Mosaic Media Group,5.2,2004,0.0,209493550.575329,209493550.575329
7446,1.13351,Mosaic Media Group,5.9,2007,26291714.5657886,42542773.7275099,16251059.1617213
7742,0.163554,Mosaic Media Group,5.6,2007,0.0,0.0,0.0
5913,0.168658,CTB Film Company,5.9,2013,0.0,0.0,0.0
1948,1.874641,Firm Films,6.2,2010,100000000.0,167805466.0,67805466.0
2932,1.172718,Firm Films,5.3,2008,35447532.1833208,86509099.6853474,51061567.502026595
5014,0.872052,Firm Films,6.7,2003,7112115.86869516,0.0,-7112115.86869516
6266,0.857834,Firm Films,6.2,2005,21214702.5034353,161026813.932432,139812111.42899668
6382,0.371866,Firm Films,6.6,2005,0.0,0.0,0.0
6626,0.920528,Firm Films,5.6,2006,43266766.3316629,149550563.219722,106283796.88805911
6681,0.632875,Firm Films,7.0,2006,75716841.0804101,59504493.8486015,-16212347.231808595
7028,0.986444,Firm Films,6.0,2004,69266723.9887289,70822682.0352595,1555958.0465306044
7419,1.591827,Firm Films,6.2,2007,31550057.4789463,81574582.3902933,50024524.911347
7605,0.402771,Firm Films,6.2,2007,12620022.9915785,0.0,-12620022.9915785
8101,0.986266,Cutting Edge Films,5.6,1995,85858012.0264179,149284306.214317,63426294.1878991
1982,1.14644,Road Rebel,6.3,2010,10000000.0,2995811.0,-7004189.0
2071,0.640576,Road Rebel,4.9,2010,120000000.0,48668907.0,-71331093.0
3203,0.25588,Road Rebel,5.3,2008,0.0,33900855.0754991,33900855.0754991
2078,0.619551,Noir Blanc Films,5.3,2010,0.0,3826.0,3826.0
3579,0.523036,Maxim Magazine,4.4,2011,0.0,0.0,0.0
8811,0.210972,Production I.G.,6.7,2000,0.0,0.0,0.0
1662,0.369406,Dor Film Produktionsgesellschaft GmbH,7.2,2009,0.0,0.0,0.0
2512,0.390862,Dor Film Produktionsgesellschaft GmbH,4.8,1999,0.0,0.0,0.0
5720,0.370238,Dor Film Produktionsgesellschaft GmbH,5.0,2013,0.0,10571.5606858503,10571.5606858503
2064,0.655955,Immortal Thoughts,5.8,2010,7000000.0,46488.0,-6953512.0
2197,0.321863,Darclight Films,4.8,2010,0.0,0.0,0.0
7625,0.359607,Darclight Films,5.4,2007,0.0,0.0,0.0
4633,0.363004,NBC Universal Television,6.6,2012,0.0,0.0,0.0
4875,0.174184999999999,NBC Universal Television,6.1,2012,0.0,0.0,0.0
5691,0.422634,NBC Universal Television,5.9,2013,0.0,0.0,0.0
2592,0.170248,Babylonian Productions,6.8,1999,0.0,0.0,0.0
4068,0.188773,Babylonian Productions,6.3,2002,0.0,0.0,0.0
9029,0.710631,Babylonian Productions,6.2,1998,0.0,0.0,0.0
9125,0.231134,Babylonian Productions,6.6,1998,0.0,0.0,0.0
10311,0.41174,Babylonian Productions,6.6,1993,0.0,0.0,0.0
7721,0.201139,XIT Financial Group,5.4,2007,12620022.9915785,0.0,-12620022.9915785
139,1.161812,Lucky Hat Entertainment,5.5,2015,0.0,109004.312038102,109004.312038102
2423,1.769152,Jaret Entertainment,7.2,1999,20944845.5455091,70005745.4329437,49060899.8874346
7363,0.176667,Pact Productions,5.9,1980,0.0,0.0,0.0
2060,0.661465,David Gundlach Productions,5.9,2010,7500000.0,0.0,-7500000.0
149,1.041922,Thaba Media,5.8,2015,18399991.9040035,0.0,-18399991.9040035
441,0.220751,Passion Pictures,8.2,2015,0.0,0.0,0.0
545,0.109689,Passion Pictures,7.0,2015,0.0,0.0,0.0
4721,0.255341,Passion Pictures,6.8,2012,0.0,0.0,0.0
4792,0.173477,Passion Pictures,7.9,2012,0.0,0.0,0.0
5829,0.249031,Passion Pictures,6.4,2013,0.0,0.0,0.0
7642,0.316739,Passion Pictures,6.2,2007,2103337.16526309,0.0,-2103337.16526309
9735,0.415262,BHE Films,7.0,1968,0.0,243870320.218661,243870320.218661
6636,0.854533,Deep Films,7.7,2006,0.0,3969147.11793038,3969147.11793038
1476,0.883984,Tooley Productions,6.1,2009,14229606.0777493,23227431.1841004,8997825.1063511
2950,0.978313,Tooley Productions,6.9,2008,2937081.23804658,0.0,-2937081.23804658
3578,0.524684,Witt/Thomas Productions,6.6,2011,9693980.42591472,1705415.44522513,-7988564.98068959
3955,1.11148799999999,Witt/Thomas Productions,6.6,2002,55764024.1065451,137852098.291123,82088074.18457791
7,7.6674,Twentieth Century Fox,7.6,2015,99359956.2816192,547749654.310152,448389698.02853286
16,5.749758,Twentieth Century Fox,6.1,2015,44159980.5696085,299709578.207785,255549597.6381765
27,4.503789,Twentieth Century Fox,7.6,2015,74519967.2112144,371497801.660967,296977834.44975257
46,2.976436,Twentieth Century Fox,6.9,2015,124199945.352024,339361177.121082,215161231.769058
61,2.487042,Twentieth Century Fox,4.4,2015,110399952.34402,154539320.322699,44139367.978679016
63,2.404473,Twentieth Century Fox,6.9,2015,59799973.6880115,216812826.082356,157012852.3943445
65,2.354654,Twentieth Century Fox,5.5,2015,32199985.8320062,75759810.1856835,43559824.3536773
76,2.140199,Twentieth Century Fox,6.4,2015,91079959.9248176,226534364.284879,135454404.3600614
142,1.138395,Twentieth Century Fox,5.5,2015,36799983.8080071,31489100.3047958,-5310883.503211297
456,0.208491,Twentieth Century Fox,7.7,2015,0.0,0.0,0.0
637,7.137273,Twentieth Century Fox,7.0,2014,31317095.7262296,320834306.773058,289517211.0468284
639,6.438727,Twentieth Century Fox,7.9,2014,56186554.097059,340186892.137474,284000338.040415
641,6.286692,Twentieth Century Fox,6.1,2014,116978563.447975,321851579.072442,204873015.62446702
643,6.052479,Twentieth Century Fox,7.6,2014,230272762.692864,687133923.875509,456861161.182645
670,3.14993,Twentieth Century Fox,6.4,2014,15658547.8631148,125840630.063122,110182082.2000072
707,1.900038,Twentieth Century Fox,6.2,2014,36843642.0308583,181253395.832431,144409753.80157268
712,1.811692,Twentieth Century Fox,6.5,2014,94872378.2294603,460719091.177882,365846712.9484217
726,1.54505499999999,Twentieth Century Fox,7.3,2014,46054552.5385729,89748446.3496701,43693893.8110972
1040,0.286381,Twentieth Century Fox,7.8,2014,0.0,0.0,0.0
1042,0.283225,Twentieth Century Fox,4.5,2014,6447637.35540021,33559008.3165311,27111370.961130887
1329,12.037933,Twentieth Century Fox,7.9,1977,39575591.3582738,2789712242.27745,2750136650.919176
1341,0.560826,Twentieth Century Fox,6.2,1977,12232455.5107391,111758008.930412,99525553.41967289
1349,0.398651,Twentieth Century Fox,5.0,1977,0.0,0.0,0.0
1386,9.432768,Twentieth Century Fox,7.1,2009,240886902.887613,2827123750.41189,2586236847.524277
1396,3.154914,Twentieth Century Fox,6.4,2009,91476039.0712458,901228865.731673,809752826.6604272
1412,1.826169,Twentieth Century Fox,7.5,2009,40656017.3649981,47233167.9514307,6577150.5864325985
1414,1.752134,Twentieth Century Fox,5.9,2009,152460065.118743,419881290.527696,267421225.408953
1554,0.53923,Twentieth Century Fox,5.1,2009,45738019.5356229,58830330.4460107,13092310.9103878
